Address,Longitude,Latitude,cluster,Address
"4100 North Oak Park Avenue, Chicago, IL 60634, USA",-87.800991,41.95469,48,"4100 North Oak Park Avenue, Chicago, IL 60634, USA"
"6200 North Mandell Avenue, Chicago, IL 60646, USA",-87.769279,41.994991,43,"6200 North Mandell Avenue, Chicago, IL 60646, USA"
"7900 West Foster Avenue, Chicago, IL 60656, USA",-87.824812,41.974089,45,"7900 West Foster Avenue, Chicago, IL 60656, USA"
"1500 West Webster Avenue, Chicago, IL 60614, USA",-87.666455,41.9216,37,"1500 West Webster Avenue, Chicago, IL 60614, USA"
"2500 West Grand Avenue, Chicago, IL 60654, USA",-87.654491,41.891118,36,"2500 West Grand Avenue, Chicago, IL 60654, USA"
"1100 Roosevelt Road, Chicago, IL 60608, USA",-87.654224,41.867108,38,"1100 Roosevelt Road, Chicago, IL 60608, USA"
"1100 West Chicago Avenue, Chicago, IL 60642, USA",-87.655232,41.896282,36,"1100 West Chicago Avenue, Chicago, IL 60642, USA"
"2100 North Stave Street, Chicago, IL 60647, USA",-87.694259,41.919343,57,"2100 North Stave Street, Chicago, IL 60647, USA"
"2200 North Cannon Drive, Chicago, IL 60614, USA",-87.632085,41.921965,35,"2200 North Cannon Drive, Chicago, IL 60614, USA"
"2200 West 113th Street, Chicago, IL 60643, USA",-87.676709,41.688324,1,"2200 West 113th Street, Chicago, IL 60643, USA"
"1100 South Peoria Street, Chicago, IL 60608, USA",-87.64886,41.862292,38,"1100 South Peoria Street, Chicago, IL 60608, USA"
"1700 West 95th Street, Chicago, IL 60643, USA",-87.666014,41.720848,12,"1700 West 95th Street, Chicago, IL 60643, USA"
"2200 West 89th Street, Chicago, IL 60643, USA",-87.677512,41.731922,12,"2200 West 89th Street, Chicago, IL 60643, USA"
"North Streeter Drive, Chicago, IL 60611, USA",-87.61156,41.891126,34,"North Streeter Drive, Chicago, IL 60611, USA"
"6500 North Oak Park Avenue, Chicago, IL 60631, USA",-87.795585,41.999129,46,"6500 North Oak Park Avenue, Chicago, IL 60631, USA"
"7500 North Oakley Avenue, Chicago, IL 60645, USA",-87.687769,42.01743,54,"7500 North Oakley Avenue, Chicago, IL 60645, USA"
"1500 North Long Avenue, Chicago, IL 60651, USA",-87.760886,41.907645,59,"1500 North Long Avenue, Chicago, IL 60651, USA"
"8900 South Carpenter Street, Chicago, IL 60620, USA",-87.649642,41.732984,11,"8900 South Carpenter Street, Chicago, IL 60620, USA"
"9100 West Higgins Avenue, Chicago, IL 60656, USA",-87.812827,41.981964,45,"9100 West Higgins Avenue, Chicago, IL 60656, USA"
"3600 North Pittsburgh Avenue, Chicago, IL 60634, USA",-87.832763,41.944869,50,"3600 North Pittsburgh Avenue, Chicago, IL 60634, USA"
"7200 North Oketo Avenue, Chicago, IL 60631, USA",-87.811506,42.011601,46,"7200 North Oketo Avenue, Chicago, IL 60631, USA"
"3800 North California Avenue, Chicago, IL 60618, USA",-87.698457,41.94983,51,"3800 North California Avenue, Chicago, IL 60618, USA"
"4900 West Balmoral Avenue, Chicago, IL 60630, USA",-87.750938,41.979243,44,"4900 West Balmoral Avenue, Chicago, IL 60630, USA"
"5800 North Western Avenue, Chicago, IL 60659, USA",-87.689778,41.986921,55,"5800 North Western Avenue, Chicago, IL 60659, USA"
"5000 South Central Avenue, Chicago, IL 60638, USA",-87.763416,41.801498,5,"5000 South Central Avenue, Chicago, IL 60638, USA"
"1400 North Sacramento Avenue, Chicago, IL 60622, USA",-87.701431,41.906638,56,"1400 North Sacramento Avenue, Chicago, IL 60622, USA"
"South Vincennes Avenue, Chicago, IL, USA",-87.64997,41.723195,11,"South Vincennes Avenue, Chicago, IL, USA"
"University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA",-87.666901,41.868077,38,"University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA"
"1100 South State Street, Chicago, IL 60605, USA",-87.627561,41.869216,34,"1100 South State Street, Chicago, IL 60605, USA"
"4200 West 127th Street, Alsip, IL 60803, USA",-87.724608,41.662014,3,"4200 West 127th Street, Alsip, IL 60803, USA"
"5300 West Agatite Avenue, Chicago, IL 60630, USA",-87.76007,41.961743,61,"5300 West Agatite Avenue, Chicago, IL 60630, USA"
