Date,Station,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,dz,ra,ts,tsra,vcts
2007-05-01,1.5,83.5,51.0,67.5,14.0,51.0,56.5,0.0,2.5,448.0,1849.0,0.0,29.14,29.82,2.2,26.0,9.399999999999999,0.0,0.0,0.0,0.0,0.0
2007-05-02,1.5,59.5,42.5,51.5,-1.5,42.0,47.0,13.5,0.0,447.0,1850.0,0.0,29.41,30.085,13.15,3.0,13.4,0.0,0.0,0.0,0.0,0.0
2007-05-03,1.5,66.5,47.0,57.0,2.0,40.0,49.0,8.0,0.0,446.0,1851.0,0.0,29.425,30.12,12.3,6.5,12.55,0.0,0.0,0.0,0.0,0.0
2007-05-04,1.5,72.0,50.0,58.0,4.0,41.5,50.0,7.0,0.0,444.0,1852.0,0.0,29.335,30.045,10.25,7.5,10.600000000000001,0.0,0.5,0.0,0.0,0.0
2007-05-05,1.5,66.0,53.5,60.0,5.0,38.5,49.5,5.0,0.0,443.0,1853.0,0.0,29.43,30.095,11.45,7.0,11.75,0.0,0.0,0.0,0.0,0.0
2007-05-06,1.5,68.0,50.5,59.5,4.0,30.0,46.0,5.5,0.0,442.0,1855.0,0.0,29.595,30.285,14.100000000000001,10.5,14.75,0.0,0.0,0.0,0.0,0.0
2007-05-07,1.5,83.5,48.5,66.0,10.0,40.0,53.5,0.0,1.0,441.0,1856.0,0.0,29.41,30.12,8.55,17.5,10.2,0.0,0.5,0.0,0.0,0.0
2007-05-08,1.5,81.0,57.0,69.0,12.0,57.5,62.5,0.0,4.0,439.0,1857.0,0.0,29.325,30.025,2.6,9.5,5.6,0.0,0.0,0.0,0.0,0.0
2007-05-09,1.5,76.5,62.0,69.5,13.0,59.5,63.0,0.0,4.5,438.0,1858.0,0.075,29.245,29.935000000000002,3.9,8.0,6.050000000000001,0.0,0.0,0.0,0.0,0.0
2007-05-10,1.5,83.5,57.5,70.5,14.0,52.0,60.5,0.0,5.5,437.0,1859.0,0.0,29.23,29.915,1.35,13.0,4.0,0.0,0.0,0.0,0.0,0.0
2007-05-11,1.5,71.5,50.0,61.0,4.0,43.0,51.0,4.0,0.0,436.0,1860.0,0.0,29.36,30.035,11.5,19.5,12.850000000000001,0.0,0.0,0.0,0.0,0.0
2007-05-12,1.5,64.5,46.5,55.5,-1.0,36.5,46.0,9.5,0.0,435.0,1901.0,0.0,29.515,30.195,12.55,2.0,12.95,0.0,0.0,0.0,0.0,0.0
2007-05-13,1.5,69.0,43.5,56.5,-1.0,32.5,46.0,8.5,0.0,434.0,1902.0,0.0,29.52,30.24,6.5,12.5,7.85,0.0,0.0,0.0,0.0,0.0
2007-05-14,1.5,90.0,55.0,72.5,15.0,46.0,58.5,0.0,7.5,433.0,1903.0,0.0,29.27,29.975,15.5,21.0,15.95,0.0,0.0,0.0,0.0,0.0
2007-05-15,1.5,81.0,56.5,69.0,11.0,56.0,61.0,0.0,4.0,432.0,1904.0,0.49,29.16,29.835,8.1,26.0,11.55,0.0,1.0,0.0,0.5,0.0
2007-05-16,1.5,65.0,44.5,55.0,-2.0,42.5,47.5,10.0,0.0,431.0,1905.0,0.10500000000000001,29.36,30.03,7.9,36.0,12.0,0.0,1.0,0.0,0.0,0.0
2007-05-17,1.5,61.5,43.5,53.0,-3.0,32.0,43.0,12.0,0.0,430.0,1906.0,0.0,29.585,30.27,11.1,2.0,11.75,0.0,0.0,0.0,0.0,0.0
2007-05-18,1.5,70.5,42.5,57.0,-1.5,30.5,46.5,8.0,0.0,429.0,1907.0,0.0,29.565,30.255000000000003,4.4,23.5,6.5,0.0,0.0,0.0,0.0,0.0
2007-05-19,1.5,80.0,56.0,68.0,8.0,38.0,53.0,0.0,3.0,428.0,1908.0,0.0,29.375,30.08,11.1,23.5,11.4,0.0,0.0,0.0,0.0,0.0
2007-05-20,1.5,69.0,43.5,56.5,-2.5,40.5,44.5,8.5,0.0,427.0,1909.0,0.09,29.41,30.11,9.5,3.5,10.2,0.0,1.0,0.0,0.5,0.5
2007-05-21,1.5,79.5,45.0,62.5,1.0,50.0,56.5,2.5,0.0,426.0,1910.0,0.0,29.36,30.055,6.3,10.5,8.0,0.0,0.0,0.0,0.0,0.0
2007-05-22,1.5,87.0,57.5,72.5,10.0,45.0,58.0,0.0,7.5,425.0,1911.0,0.0,29.375,30.055,10.05,17.0,10.399999999999999,0.0,0.0,0.0,0.0,0.0
2007-05-23,1.5,89.0,63.0,76.5,14.0,48.5,61.0,0.0,11.5,425.0,1912.0,0.0,29.43,30.1,11.15,18.5,11.5,0.0,0.0,0.0,0.0,0.0
2007-05-24,1.5,88.0,64.5,76.5,14.0,53.5,63.0,0.0,11.5,424.0,1913.0,0.01,29.439999999999998,30.105,14.350000000000001,20.5,16.25,0.0,1.0,0.0,0.0,0.0
2007-05-25,1.5,68.0,56.5,62.5,1.0,45.0,53.0,2.5,0.0,423.0,1914.0,0.045,29.54,30.235,4.7,5.0,8.5,0.0,0.5,0.0,0.0,0.0
2007-05-26,1.5,67.5,49.5,58.5,-2.5,55.0,56.5,6.5,0.0,422.0,1915.0,0.645,29.39,30.105,2.65,16.0,7.5,0.0,1.0,0.0,1.0,0.0
2007-05-27,1.5,75.0,58.0,66.5,4.0,48.0,56.5,0.0,1.5,422.0,1916.0,0.06,29.375,30.055,8.55,25.0,9.35,0.0,1.0,0.0,0.0,0.0
2007-05-28,1.5,77.5,52.0,65.0,2.0,48.0,56.5,0.0,0.0,421.0,1916.0,0.0,29.46,30.145,4.75,9.0,5.25,0.0,0.5,0.0,0.0,0.0
2007-05-29,1.5,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,421.0,1917.0,0.0,29.415,30.1,5.8,17.0,6.95,0.0,0.0,0.0,0.0,0.0
2007-05-30,1.5,88.0,68.0,78.5,13.0,57.5,65.5,0.0,13.5,420.0,1918.0,0.0,29.345,30.035,10.0,18.0,10.35,0.0,0.0,0.0,0.0,0.0
2007-05-31,1.5,79.0,66.5,73.0,8.0,61.0,65.5,0.0,8.0,420.0,1919.0,0.27,29.310000000000002,29.994999999999997,9.100000000000001,18.5,9.55,0.0,1.0,0.0,0.0,0.0
2007-06-01,1.5,85.5,64.5,75.5,10.0,63.0,66.5,0.0,10.5,419.0,1920.0,0.2,29.22,29.905,4.45,16.5,6.1,0.0,0.0,0.0,1.0,0.0
2007-06-02,1.5,81.0,66.5,74.0,9.0,62.5,67.0,0.0,9.0,419.0,1920.0,0.02,29.065,29.765,7.0,21.5,7.8,0.0,1.0,0.0,0.0,0.0
2007-06-03,1.5,77.5,63.0,70.5,6.0,60.0,63.5,0.0,5.5,418.0,1921.0,0.165,28.845,29.549999999999997,5.050000000000001,24.5,6.95,0.0,1.0,0.0,0.5,0.5
2007-06-04,1.5,71.5,57.0,64.5,1.0,57.5,60.0,0.5,0.0,418.0,1922.0,0.35,28.85,29.515,7.85,30.5,9.899999999999999,0.0,1.0,0.0,0.5,0.0
2007-06-05,1.5,63.5,49.0,56.5,-4.5,47.5,51.5,8.5,0.0,417.0,1923.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0.0,1.0,0.0,0.0,0.0
2007-06-06,1.5,72.0,46.0,59.5,-4.0,47.5,55.0,5.5,0.0,417.0,1923.0,0.005,29.1,29.814999999999998,10.2,16.0,11.0,0.0,1.0,0.0,0.0,0.0
2007-06-07,1.5,91.5,71.0,81.5,15.0,61.5,68.5,0.0,16.5,417.0,1924.0,0.0,28.875,29.55,21.5,19.5,21.9,0.0,0.0,0.0,0.0,0.0
2007-06-08,1.5,81.0,60.0,70.5,3.0,53.5,61.5,0.0,5.5,417.0,1925.0,0.0,29.21,29.84,10.100000000000001,27.0,13.100000000000001,0.0,0.0,0.0,0.0,0.0
2007-06-09,1.5,79.0,54.5,67.0,0.0,48.0,57.5,0.0,2.0,416.0,1925.0,0.0,29.39,30.060000000000002,1.3499999999999999,26.0,4.85,0.0,0.0,0.0,0.0,0.0
